DayOrder,DayOfWeekStr,starttime,endtime,permit,PermitLocation,locationdesc,optionaltext,locationid,scheduleid,start24,end24,CNN,Addr_Date_Create,Addr_Date_Modified,block,lot,ColdTruck,Applicant,X,Y,Latitude,Longitude,Location,FacilityType,Permit_status,Approved,Received,PriorPermit,ExpirationDate
3,Wednesday,10AM,11AM,17MFF-0197,1144 LARKIN ST,Set-up at 1180 Larkin St: 10:00am-10:15am,"Cold Truck: packaged sandwiches, pitas, breakfast, cold and hot drinks, snacks",1037691,,10:00,11:00,8137000,8/9/11 10:50,8/9/11 10:50,279,12,Y,Munch A Bunch,6007320.109,2115238.578,37.78845535,-122.4184939,"(37.7884553541868, -122.418493877061)",Truck,APPROVED,11/21/17,11/16/17,1/1/00,7/15/18
5,Friday,10AM,11AM,17MFF-0197,365 FULTON ST,10:00am-10:15am,"Cold Truck: packaged sandwiches, pitas, breakfast, cold and hot drinks, snacks",1037692,,10:00,11:00,5882000,8/9/11 11:01,8/9/11 11:01,792,28,Y,Munch A Bunch,6006015.891,2111737.131,37.77876773,-122.4227573,"(37.7787677332342, -122.42275734107)",Truck,APPROVED,11/21/17,11/16/17,1/1/00,7/15/18
3,Wednesday,10AM,11AM,17MFF-0197,365 FULTON ST,10:00am-10:15am,"Cold Truck: packaged sandwiches, pitas, breakfast, cold and hot drinks, snacks",1037692,,10:00,11:00,5882000,8/9/11 11:01,8/9/11 11:01,792,28,Y,Munch A Bunch,6006015.891,2111737.131,37.77876773,-122.4227573,"(37.7787677332342, -122.42275734107)",Truck,APPROVED,11/21/17,11/16/17,1/1/00,7/15/18
1,Monday,5AM,6AM,17MFF-0197,2222 17TH ST,5:30AM TO 6AM MON - FRI,"Cold Truck: packaged sandwiches, pitas, breakfast, cold and hot drinks, snacks",1037687,,5:00,6:00,784000,5/19/11 13:25,6/26/12 10:53,3960,1,Y,Munch A Bunch,6010839.437,2106495.602,37.76464667,-122.4057014,"(37.7646466688009, -122.405701430585)",Truck,APPROVED,11/21/17,11/16/17,1/1/00,7/15/18
4,Thursday,10AM,2PM,17MFF-0197,2200 WEBSTER ST,10:30am-1:30am,"Cold Truck: packaged sandwiches, pitas, breakfast, cold and hot drinks, snacks",1037694,,10:00,14:00,13547000,8/9/11 11:03,8/9/11 11:04,613,3,Y,Munch A Bunch,6003292.814,2116231.841,37.79095506,-122.4324986,"(37.790955058385, -122.432498648221)",Truck,APPROVED,11/21/17,11/16/17,1/1/00,7/15/18
4,Thursday,9AM,10AM,17MFF-0197,333 12TH ST,9:15am-9:30am,"Cold Truck: packaged sandwiches, pitas, breakfast, cold and hot drinks, snacks",1037690,,9:00,10:00,546000,8/9/11 10:45,8/9/11 10:46,3521,22,Y,Munch A Bunch,6008401.25,2108731.922,37.77065044,-122.4142927,"(37.770650436068, -122.414292737958)",Truck,APPROVED,11/21/17,11/16/17,1/1/00,7/15/18
0,Sunday,8AM,4PM,17MFF-0197,1850 MISSION ST,8:00am-3:30pm,"Cold Truck: packaged sandwiches, pitas, breakfast, cold and hot drinks, snacks",1037696,,8:00,16:00,9114000,8/9/11 11:07,8/9/11 11:08,3547,2,Y,Munch A Bunch,6006736.523,2107601.904,37.76745402,-122.4199709,"(37.7674540216658, -122.419970859837)",Truck,APPROVED,11/21/17,11/16/17,1/1/00,7/15/18
5,Friday,9AM,10AM,17MFF-0197,333 12TH ST,9:15am-9:30am,"Cold Truck: packaged sandwiches, pitas, breakfast, cold and hot drinks, snacks",1037690,,9:00,10:00,546000,8/9/11 10:45,8/9/11 10:46,3521,22,Y,Munch A Bunch,6008401.25,2108731.922,37.77065044,-122.4142927,"(37.770650436068, -122.414292737958)",Truck,APPROVED,11/21/17,11/16/17,1/1/00,7/15/18
5,Friday,10AM,11AM,17MFF-0197,1345 TURK ST,10:00am-10:15am & 12:00pm-12:15pm,"Cold Truck: packaged sandwiches, pitas, breakfast, cold and hot drinks, snacks",1037695,,10:00,11:00,12728000,8/9/11 11:05,8/9/11 11:05,756,1,Y,Munch A Bunch,6003593.053,2112440.566,37.78056219,-122.4311891,"(37.7805621947803, -122.431189105466)",Truck,APPROVED,11/21/17,11/16/17,1/1/00,7/15/18
1,Monday,10AM,11AM,17MFF-0197,1345 TURK ST,10:00am-10:15am & 12:00pm-12:15pm,"Cold Truck: packaged sandwiches, pitas, breakfast, cold and hot drinks, snacks",1037695,,10:00,11:00,12728000,8/9/11 11:05,8/9/11 11:05,756,1,Y,Munch A Bunch,6003593.053,2112440.566,37.78056219,-122.4311891,"(37.7805621947803, -122.431189105466)",Truck,APPROVED,11/21/17,11/16/17,1/1/00,7/15/18
3,Wednesday,10AM,11AM,17MFF-0197,1345 TURK ST,10:00am-10:15am & 12:00pm-12:15pm,"Cold Truck: packaged sandwiches, pitas, breakfast, cold and hot drinks, snacks",1037695,,10:00,11:00,12728000,8/9/11 11:05,8/9/11 11:05,756,1,Y,Munch A Bunch,6003593.053,2112440.566,37.78056219,-122.4311891,"(37.7805621947803, -122.431189105466)",Truck,APPROVED,11/21/17,11/16/17,1/1/00,7/15/18
4,Thursday,10AM,11AM,17MFF-0197,1144 LARKIN ST,Set-up at 1180 Larkin St: 10:00am-10:15am,"Cold Truck: packaged sandwiches, pitas, breakfast, cold and hot drinks, snacks",1037691,,10:00,11:00,8137000,8/9/11 10:50,8/9/11 10:50,279,12,Y,Munch A Bunch,6007320.109,2115238.578,37.78845535,-122.4184939,"(37.7884553541868, -122.418493877061)",Truck,APPROVED,11/21/17,11/16/17,1/1/00,7/15/18
2,Tuesday,5AM,6AM,17MFF-0197,2222 17TH ST,5:30AM TO 6AM MON - FRI,"Cold Truck: packaged sandwiches, pitas, breakfast, cold and hot drinks, snacks",1037687,,5:00,6:00,784000,5/19/11 13:25,6/26/12 10:53,3960,1,Y,Munch A Bunch,6010839.437,2106495.602,37.76464667,-122.4057014,"(37.7646466688009, -122.405701430585)",Truck,APPROVED,11/21/17,11/16/17,1/1/00,7/15/18
2,Tuesday,8AM,9AM,17MFF-0197,355 07TH ST,8:40am-9:00am,"Cold Truck: packaged sandwiches, pitas, breakfast, cold and hot drinks, snacks",1037689,,8:00,9:00,373000,8/9/11 10:45,8/9/11 10:45,3754,18,Y,Munch A Bunch,6010572.465,2110668.064,37.77608836,-122.4069189,"(37.7760883582323, -122.406918921639)",Truck,APPROVED,11/21/17,11/16/17,1/1/00,7/15/18
